Date : 2026-05-26 09:00:31
Directory : /home/bashar/Projects/algonaid_mobile_app
Total : 329 files,  64684 codes, 813 comments, 2646 blanks, all 68143 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/features/auth/domain                                                                                                       |          5 |         94 |          3 |         16 |        113 |
| lib/features/auth/domain/entities                                                                                              |          1 |         17 |          1 |          2 |         20 |
| lib/features/auth/domain/repositories                                                                                          |          1 |         17 |          0 |          2 |         19 |
| lib/features/auth/domain/usecases                                                                                              |          3 |         60 |          2 |         12 |         74 |
| lib/features/auth/presentation                                                                                                 |          8 |        530 |         35 |         70 |        635 |
| lib/features/auth/presentation/pages                                                                                           |          1 |        180 |         21 |         20 |        221 |
| lib/features/auth/presentation/providers                                                                                       |          1 |        148 |          4 |         27 |        179 |
| lib/features/auth/presentation/widgets                                                                                         |          6 |        202 |         10 |         23 |        235 |
| lib/features/courses                                                                                                           |         57 |      3,669 |         64 |        477 |      4,210 |
| lib/features/courses (Files)                                                                                                   |          1 |         12 |          0 |          6 |         18 |
| lib/features/courses/data                                                                                                      |         18 |      1,079 |         25 |        169 |      1,273 |
| lib/features/courses/data (Files)                                                                                              |          1 |          2 |          0 |          1 |          3 |
| lib/features/courses/data/datasources                                                                                          |          2 |        168 |          0 |         26 |        194 |
| lib/features/courses/data/models                                                                                               |         14 |        740 |         25 |        117 |        882 |
| lib/features/courses/data/repositories                                                                                         |          1 |        169 |          0 |         25 |        194 |
| lib/features/courses/domain                                                                                                    |         17 |        308 |          9 |         68 |        385 |
| lib/features/courses/domain (Files)                                                                                            |          1 |          2 |          0 |          1 |          3 |
| lib/features/courses/domain/entities                                                                                           |          7 |        196 |          0 |         30 |        226 |
| lib/features/courses/domain/repositories                                                                                       |          1 |         16 |          1 |          3 |         20 |
| lib/features/courses/domain/usecases                                                                                           |          8 |         94 |          8 |         34 |        136 |
| lib/features/courses/presentation                                                                                              |         21 |      2,270 |         30 |        234 |      2,534 |
| lib/features/courses/presentation (Files)                                                                                      |          1 |          2 |          0 |          1 |          3 |
| lib/features/courses/presentation/pages                                                                                        |          3 |        430 |          3 |         32 |        465 |
| lib/features/courses/presentation/providers                                                                                    |          4 |        301 |          7 |         65 |        373 |
| lib/features/courses/presentation/widgets                                                                                      |         13 |      1,537 |         20 |        136 |      1,693 |
| lib/features/downloads                                                                                                         |          2 |        411 |          7 |         47 |        465 |
| lib/features/downloads/presentation                                                                                            |          2 |        411 |          7 |         47 |        465 |
| lib/features/downloads/presentation/pages                                                                                      |          1 |        214 |          0 |         16 |        230 |
| lib/features/downloads/presentation/providers                                                                                  |          1 |        197 |          7 |         31 |        235 |
| lib/features/exams                                                                                                             |         28 |      3,574 |         74 |        344 |      3,992 |
| lib/features/exams/data                                                                                                        |         10 |      1,268 |         21 |        150 |      1,439 |
| lib/features/exams/data/datasources                                                                                            |          4 |        451 |          0 |         70 |        521 |
| lib/features/exams/data/models                                                                                                 |          5 |        656 |         21 |         67 |        744 |
| lib/features/exams/data/repositories                                                                                           |          1 |        161 |          0 |         13 |        174 |
| lib/features/exams/domain                                                                                                      |          8 |        392 |         10 |         62 |        464 |
| lib/features/exams/domain/entities                                                                                             |          4 |        288 |          9 |         33 |        330 |
| lib/features/exams/domain/repositories                                                                                         |          1 |         14 |          1 |          2 |         17 |
| lib/features/exams/domain/usecases                                                                                             |          3 |         90 |          0 |         27 |        117 |
| lib/features/exams/presentation                                                                                                |         10 |      1,914 |         43 |        132 |      2,089 |
| lib/features/exams/presentation/pages                                                                                          |          3 |        480 |         11 |         40 |        531 |
| lib/features/exams/presentation/providers                                                                                      |          1 |        258 |         19 |         35 |        312 |
| lib/features/exams/presentation/widgets                                                                                        |          6 |      1,176 |         13 |         57 |      1,246 |
| lib/features/lessons                                                                                                           |         40 |      3,350 |         53 |        393 |      3,796 |
| lib/features/lessons/data                                                                                                      |          9 |        500 |         11 |         72 |        583 |
| lib/features/lessons/data (Files)                                                                                              |          1 |          2 |          0 |          1 |          3 |
| lib/features/lessons/data/datasources                                                                                          |          2 |        140 |          1 |         22 |        163 |
| lib/features/lessons/data/models                                                                                               |          5 |        257 |         10 |         36 |        303 |
| lib/features/lessons/data/repositories                                                                                         |          1 |        101 |          0 |         13 |        114 |
| lib/features/lessons/domain                                                                                                    |          8 |        137 |          4 |         28 |        169 |
| lib/features/lessons/domain (Files)                                                                                            |          1 |          2 |          0 |          1 |          3 |
| lib/features/lessons/domain/entities                                                                                           |          3 |         87 |          2 |         11 |        100 |
| lib/features/lessons/domain/repositories                                                                                       |          1 |          9 |          1 |          3 |         13 |
| lib/features/lessons/domain/usecases                                                                                           |          3 |         39 |          1 |         13 |         53 |
| lib/features/lessons/presentation                                                                                              |         23 |      2,713 |         38 |        293 |      3,044 |
| lib/features/lessons/presentation (Files)                                                                                      |          1 |          2 |          0 |          1 |          3 |
| lib/features/lessons/presentation/controllers                                                                                  |          3 |        407 |          3 |         84 |        494 |
| lib/features/lessons/presentation/pages                                                                                        |          3 |        409 |         14 |         46 |        469 |
| lib/features/lessons/presentation/providers                                                                                    |          2 |        151 |          2 |         22 |        175 |
| lib/features/lessons/presentation/widgets                                                                                      |         14 |      1,744 |         19 |        140 |      1,903 |
| lib/features/modules                                                                                                           |         28 |      1,755 |         33 |        233 |      2,021 |
| lib/features/modules/data                                                                                                      |          8 |        511 |         10 |         80 |        601 |
| lib/features/modules/data/datasources                                                                                          |          2 |        113 |          2 |         22 |        137 |
| lib/features/modules/data/models                                                                                               |          5 |        281 |          8 |         45 |        334 |
| lib/features/modules/data/repositories                                                                                         |          1 |        117 |          0 |         13 |        130 |
| lib/features/modules/domain                                                                                                    |          8 |        162 |          3 |         37 |        202 |
| lib/features/modules/domain/entities                                                                                           |          3 |        102 |          1 |         17 |        120 |
| lib/features/modules/domain/repositories                                                                                       |          1 |         12 |          1 |          3 |         16 |
| lib/features/modules/domain/usecases                                                                                           |          4 |         48 |          1 |         17 |         66 |
| lib/features/modules/presentation                                                                                              |         12 |      1,082 |         20 |        116 |      1,218 |
| lib/features/modules/presentation/pages                                                                                        |          1 |         75 |          4 |         12 |         91 |
| lib/features/modules/presentation/providers                                                                                    |          3 |        159 |          5 |         32 |        196 |
| lib/features/modules/presentation/widgets                                                                                      |          8 |        848 |         11 |         72 |        931 |
| lib/features/onboard                                                                                                           |          9 |        464 |         16 |         63 |        543 |
| lib/features/onboard/data                                                                                                      |          1 |         30 |          4 |          5 |         39 |
| lib/features/onboard/data/models                                                                                               |          1 |         30 |          4 |          5 |         39 |
| lib/features/onboard/domain                                                                                                    |          1 |         10 |          0 |          2 |         12 |
| lib/features/onboard/domain/entity                                                                                             |          1 |         10 |          0 |          2 |         12 |
| lib/features/onboard/presentaion                                                                                               |          7 |        424 |         12 |         56 |        492 |
| lib/features/onboard/presentaion/pages                                                                                         |          1 |         69 |          0 |          8 |         77 |
| lib/features/onboard/presentaion/providers                                                                                     |          1 |         42 |          4 |         12 |         58 |
| lib/features/onboard/presentaion/widgets                                                                                       |          5 |        313 |          8 |         36 |        357 |
| lib/features/profile                                                                                                           |         12 |        622 |          4 |         56 |        682 |
| lib/features/profile/data                                                                                                      |          3 |         41 |          0 |         12 |         53 |
| lib/features/profile/data/datasources                                                                                          |          1 |         14 |          0 |          5 |         19 |
| lib/features/profile/data/models                                                                                               |          1 |          9 |          0 |          3 |         12 |
| lib/features/profile/data/repositories                                                                                         |          1 |         18 |          0 |          4 |         22 |
| lib/features/profile/domain                                                                                                    |          3 |         21 |          0 |          8 |         29 |
| lib/features/profile/domain/entities                                                                                           |          1 |          4 |          0 |          2 |          6 |
| lib/features/profile/domain/repositories                                                                                       |          1 |          6 |          0 |          2 |          8 |
| lib/features/profile/domain/usecases                                                                                           |          1 |         11 |          0 |          4 |         15 |
| lib/features/profile/presentation                                                                                              |          6 |        560 |          4 |         36 |        600 |
| lib/features/profile/presentation/pages                                                                                        |          1 |         32 |          0 |          3 |         35 |
| lib/features/profile/presentation/providers                                                                                    |          1 |         29 |          0 |         10 |         39 |
| lib/features/profile/presentation/widgets                                                                                      |          4 |        499 |          4 |         23 |        526 |
| linux                                                                                                                          |          6 |        314 |         32 |         79 |        425 |
| linux (Files)                                                                                                                  |          1 |        111 |          0 |         27 |        138 |
| linux/flutter                                                                                                                  |          1 |         79 |          0 |         10 |         89 |
| linux/runner                                                                                                                   |          4 |        124 |         32 |         42 |        198 |
| macos                                                                                                                          |          5 |        441 |          2 |         13 |        456 |
| macos/Runner                                                                                                                   |          4 |        434 |          0 |          9 |        443 |
| macos/Runner (Files)                                                                                                           |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                        |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                              |          1 |          7 |          2 |          4 |         13 |
