"filename", "language", "Dart", "XML", "CMake", "C++", "Markdown", "Swift", "JSON", "YAML", "HTML", "Properties", "comment", "blank", "total"
"/home/bashar/Projects/algonaid_mobile_app/lib/core/theme/styles.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 106
"/home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme.dart", "Dart", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 22, 267
"/home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme_provider.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"/home/bashar/Projects/algonaid_mobile_app/lib/core/usecase/usecase.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"/home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/README.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/no_param_use_case.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/use_case.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/bashar/Projects/algonaid_mobile_app/lib/core/userCases/usecase.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/cache/per_caching_for_images.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/cache/shared_pref.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 16, 77
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/check_user_auth_token.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/share_product.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 27
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/user_friendly_error.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/hive_data.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 48
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/hive_setup.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/init_hive.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/hive/token_storage.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/platform/open_external_url.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/platform/open_external_url_stub.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/platform/open_external_url_web.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/providers/app_providers.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 62
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/validations/app_validation.dart", "Dart", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 28, 162
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/validations/validation_pattern.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 33
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/README.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/buttons/custom_button.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/continueLearningShimmer.dart", "Dart", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 110
