"filename", "language", "Dart", "comment", "blank", "total"
"/home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_constants.dart", "Dart", 1, 0, 0, 1
"/home/bashar/Projects/algonaid_mobile_app/lib/core/di/service_locator.dart", "Dart", 18, 0, 4, 22
"/home/bashar/Projects/algonaid_mobile_app/lib/core/routes/appRouters.dart", "Dart", 26, 4, 2, 32
"/home/bashar/Projects/algonaid_mobile_app/lib/core/routes/paths_routes.dart", "Dart", 4, 0, 0, 4
"/home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme.dart", "Dart", 30, 0, 5, 35
"/home/bashar/Projects/algonaid_mobile_app/lib/core/theme/theme_provider.dart", "Dart", 18, 0, 3, 21
"/home/bashar/Projects/algonaid_mobile_app/lib/core/utils/functions/check_user_auth_token.dart", "Dart", 7, 0, 0, 7
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/continueLearningShimmer.dart", "Dart", -7, 0, 0, -7
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/shimmer_loading.dart", "Dart", 3, 0, 1, 4
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/app_bottom_sheet.dart", "Dart", 85, 0, 5, 90
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/app_empty_state.dart", "Dart", 48, 0, 4, 52
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/app_snackbar.dart", "Dart", 67, 0, 8, 75
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/info_banner.dart", "Dart", 48, 0, 4, 52
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/section_header.dart", "Dart", 44, 0, 1, 45
"/home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/shared_app_bar.dart", "Dart", 43, 0, 5, 48
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/pages/signin_&_signup_pages.dart", "Dart", 3, 0, 0, 3
"/home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/widgets/drop_down_bottun.dart", "Dart", -3, 0, 0, -3
"/home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/datasources/course_local_stroage.dart", "Dart", -24, 0, -1, -25
"/home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/datasources/courses_remote_data_source.dart", "Dart", -10, 0, 0, -10
