"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"/home/bashar/Projects/algonaid_mobile_app/lib/auth_gate.dart", "Dart", 26, 0, 0, 6, 32
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/README.md", "Markdown", 0, 8, 0, 4, 12
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/language_type.dart", "Dart", 11, 0, 0, 2, 13
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/lesson_status.dart", "Dart", 4, 0, 0, 3, 7
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/password_strength.dart", "Dart", 1, 0, 0, 1, 2
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/user_role.dart", "Dart", 15, 0, 0, 2, 17
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/extensions/lession_status.dart", "Dart", 66, 0, 1, 6, 73
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/extensions/theme_helper.dart", "Dart", 34, 0, 12, 13, 59
"/home/bashar/Projects/algonaid_mobile_app/lib/core/common/type_def/typesdef.dart", "Dart", 1, 0, 8, 5, 14
"/home/bashar/Projects/algonaid_mobile_app/lib/core/constants/README.md", "Markdown", 0, 10, 0, 4, 14
"/home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_constants.dart", "Dart", 121, 0, 12, 18, 151
"/home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_strings.dart", "Dart", 21, 0, 2, 3, 26
"/home/bashar/Projects/algonaid_mobile_app/lib/core/constants/assets_constants.dart", "Dart", 19, 0, 4, 4, 27
"/home/bashar/Projects/algonaid_mobile_app/lib/core/constants/endpoints.dart", "Dart", 31, 0, 3, 4, 38
"/home/bashar/Projects/algonaid_mobile_app/lib/core/di/README.md", "Markdown", 0, 8, 0, 4, 12
"/home/bashar/Projects/algonaid_mobile_app/lib/core/di/service_locator.dart", "Dart", 276, 0, 5, 71, 352
"/home/bashar/Projects/algonaid_mobile_app/lib/core/errors/README.md", "Markdown", 0, 9, 0, 4, 13
"/home/bashar/Projects/algonaid_mobile_app/lib/core/errors/exceptions.dart", "Dart", 18, 0, 0, 6, 24
"/home/bashar/Projects/algonaid_mobile_app/lib/core/errors/failure.dart", "Dart", 13, 0, 0, 4, 17
"/home/bashar/Projects/algonaid_mobile_app/lib/core/network/README.md", "Markdown", 0, 12, 0, 4, 16
"/home/bashar/Projects/algonaid_mobile_app/lib/core/network/api_service.dart", "Dart", 53, 0, 0, 9, 62
"/home/bashar/Projects/algonaid_mobile_app/lib/core/network/check_internet.dart", "Dart", 5, 0, 0, 2, 7
"/home/bashar/Projects/algonaid_mobile_app/lib/core/network/dio_error_handler.dart", "Dart", 41, 0, 3, 12, 56
"/home/bashar/Projects/algonaid_mobile_app/lib/core/network/execute_request.dart", "Dart", 18, 0, 4, 3, 25
"/home/bashar/Projects/algonaid_mobile_app/lib/core/network/initial_dio.dart", "Dart", 56, 0, 4, 8, 68
"/home/bashar/Projects/algonaid_mobile_app/lib/core/routes/README.md", "Markdown", 0, 10, 0, 4, 14
