"filename", "language", "Dart", "XML", "CMake", "C++", "Swift", "JSON", "Markdown", "YAML", "HTML", "Properties", "comment", "blank", "total"
"/home/bashar/Projects/algonaid_mobile_app/.idea/libraries/Dart_SDK.xml", "XML", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19
"/home/bashar/Projects/algonaid_mobile_app/.idea/libraries/KotlinJavaRuntime.xml", "XML", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -16
"/home/bashar/Projects/algonaid_mobile_app/.idea/modules.xml", "XML", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"/home/bashar/Projects/algonaid_mobile_app/.idea/runConfigurations/main_dart.xml", "XML", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"/home/bashar/Projects/algonaid_mobile_app/.idea/workspace.xml", "XML", 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -37
"/home/bashar/Projects/algonaid_mobile_app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, -174, 0, 0, 0, 0, -33, -207
"/home/bashar/Projects/algonaid_mobile_app/algonaid_mobail_app.iml", "XML", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"/home/bashar/Projects/algonaid_mobile_app/analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, -22, -4, -29
"/home/bashar/Projects/algonaid_mobile_app/android/algonaid_mobail_app_android.iml", "XML", 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -30
"/home/bashar/Projects/algonaid_mobile_app/android/app/src/debug/AndroidManifest.xml", "XML", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -4, -1, -8
"/home/bashar/Projects/algonaid_mobile_app/android/app/src/main/AndroidManifest.xml", "XML", 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, -11, -1, -47
