Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 273 files,  19746 codes, 582 comments, 2376 blanks, all 22704 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        256 |     19,626 |        582 |      2,324 |     22,532 |
| Markdown |         17 |        120 |          0 |         52 |        172 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| features/exams/presentation/pages                                                                                              |          3 |        510 |         12 |         43 |        565 |
| features/exams/presentation/providers                                                                                          |          1 |        258 |         19 |         35 |        312 |
| features/exams/presentation/widgets                                                                                            |          6 |      1,195 |         14 |         60 |      1,269 |
| features/lessons                                                                                                               |         40 |      3,508 |         50 |        406 |      3,964 |
| features/lessons/data                                                                                                          |          9 |        500 |         11 |         72 |        583 |
| features/lessons/data (Files)                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| features/lessons/data/datasources                                                                                              |          2 |        140 |          1 |         22 |        163 |
| features/lessons/data/models                                                                                                   |          5 |        257 |         10 |         36 |        303 |
| features/lessons/data/repositories                                                                                             |          1 |        101 |          0 |         13 |        114 |
| features/lessons/domain                                                                                                        |          8 |        137 |          4 |         28 |        169 |
| features/lessons/domain (Files)                                                                                                |          1 |          2 |          0 |          1 |          3 |
| features/lessons/domain/entities                                                                                               |          3 |         87 |          2 |         11 |        100 |
| features/lessons/domain/repositories                                                                                           |          1 |          9 |          1 |          3 |         13 |
| features/lessons/domain/usecases                                                                                               |          3 |         39 |          1 |         13 |         53 |
| features/lessons/presentation                                                                                                  |         23 |      2,871 |         35 |        306 |      3,212 |
| features/lessons/presentation (Files)                                                                                          |          1 |          2 |          0 |          1 |          3 |
| features/lessons/presentation/controllers                                                                                      |          3 |        415 |          3 |         86 |        504 |
| features/lessons/presentation/pages                                                                                            |          3 |        535 |         14 |         53 |        602 |
| features/lessons/presentation/providers                                                                                        |          2 |        191 |          3 |         24 |        218 |
| features/lessons/presentation/widgets                                                                                          |         14 |      1,728 |         15 |        142 |      1,885 |
| features/modules                                                                                                               |         28 |      1,951 |         33 |        242 |      2,226 |
| features/modules/data                                                                                                          |          8 |        511 |         10 |         80 |        601 |
| features/modules/data/datasources                                                                                              |          2 |        113 |          2 |         22 |        137 |
| features/modules/data/models                                                                                                   |          5 |        281 |          8 |         45 |        334 |
| features/modules/data/repositories                                                                                             |          1 |        117 |          0 |         13 |        130 |
| features/modules/domain                                                                                                        |          8 |        162 |          3 |         37 |        202 |
| features/modules/domain/entities                                                                                               |          3 |        102 |          1 |         17 |        120 |
| features/modules/domain/repositories                                                                                           |          1 |         12 |          1 |          3 |         16 |
| features/modules/domain/usecases                                                                                               |          4 |         48 |          1 |         17 |         66 |
| features/modules/presentation                                                                                                  |         12 |      1,278 |         20 |        125 |      1,423 |
| features/modules/presentation/pages                                                                                            |          1 |        252 |          4 |         21 |        277 |
| features/modules/presentation/providers                                                                                        |          3 |        159 |          5 |         32 |        196 |
| features/modules/presentation/widgets                                                                                          |          8 |        867 |         11 |         72 |        950 |
| features/notifications                                                                                                         |          1 |         50 |          0 |          3 |         53 |
| features/notifications/presentation                                                                                            |          1 |         50 |          0 |          3 |         53 |
| features/notifications/presentation/pages                                                                                      |          1 |         50 |          0 |          3 |         53 |
| features/onboard                                                                                                               |          9 |        464 |         16 |         63 |        543 |
| features/onboard/data                                                                                                          |          1 |         30 |          4 |          5 |         39 |
| features/onboard/data/models                                                                                                   |          1 |         30 |          4 |          5 |         39 |
| features/onboard/domain                                                                                                        |          1 |         10 |          0 |          2 |         12 |
| features/onboard/domain/entity                                                                                                 |          1 |         10 |          0 |          2 |         12 |
| features/onboard/presentaion                                                                                                   |          7 |        424 |         12 |         56 |        492 |
| features/onboard/presentaion/pages                                                                                             |          1 |         69 |          0 |          8 |         77 |
| features/onboard/presentaion/providers                                                                                         |          1 |         42 |          4 |         12 |         58 |
| features/onboard/presentaion/widgets                                                                                           |          5 |        313 |          8 |         36 |        357 |
| features/profile                                                                                                               |         20 |      2,017 |         40 |        162 |      2,219 |
| features/profile/data                                                                                                          |          5 |        199 |          0 |         28 |        227 |
| features/profile/data/datasources                                                                                              |          2 |         68 |          0 |         11 |         79 |
| features/profile/data/models                                                                                                   |          2 |         62 |          0 |          9 |         71 |
| features/profile/data/repositories                                                                                             |          1 |         69 |          0 |          8 |         77 |
| features/profile/domain                                                                                                        |          6 |         62 |          0 |         18 |         80 |
| features/profile/domain/entities                                                                                               |          2 |         20 |          0 |          4 |         24 |
| features/profile/domain/repositories                                                                                           |          1 |          9 |          0 |          2 |         11 |
| features/profile/domain/usecases                                                                                               |          3 |         33 |          0 |         12 |         45 |
| features/profile/presentation                                                                                                  |          9 |      1,756 |         40 |        116 |      1,912 |
| features/profile/presentation/pages                                                                                            |          3 |        661 |          8 |         33 |        702 |
| features/profile/presentation/providers                                                                                        |          1 |         81 |          0 |         19 |        100 |
| features/profile/presentation/widgets                                                                                          |          5 |      1,014 |         32 |         64 |      1,110 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                       | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/lib/auth_gate.dart                                                                   | Dart     |         26 |          0 |          6 |         32 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/README.md                                                            | Markdown |          8 |          0 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/language_type.dart                                             | Dart     |         11 |          0 |          2 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/lesson_status.dart                                             | Dart     |          4 |          0 |          3 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/password_strength.dart                                         | Dart     |          1 |          0 |          1 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/user_role.dart                                                 | Dart     |         15 |          0 |          2 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/extensions/lession_status.dart                                       | Dart     |         66 |          1 |          6 |         73 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/extensions/theme_helper.dart                                         | Dart     |         34 |         12 |         13 |         59 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/type_def/typesdef.dart                                               | Dart     |          1 |          8 |          5 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/README.md                                                         | Markdown |         10 |          0 |          4 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_constants.dart                                                | Dart     |        120 |         12 |         18 |        150 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/app_strings.dart                                                  | Dart     |         21 |          2 |          3 |         26 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/assets_constants.dart                                             | Dart     |         19 |          4 |          4 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/constants/endpoints.dart                                                    | Dart     |         31 |          3 |          4 |         38 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/di/README.md                                                                | Markdown |          8 |          0 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/di/service_locator.dart                                                     | Dart     |        253 |          5 |         66 |        324 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/errors/README.md                                                            | Markdown |          9 |          0 |          4 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/errors/exceptions.dart                                                      | Dart     |         18 |          0 |          6 |         24 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/errors/failure.dart                                                         | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/network/README.md                                                           | Markdown |         12 |          0 |          4 |         16 |
