Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 273 files,  19746 codes, 582 comments, 2376 blanks, all 22704 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        256 |     19,626 |        582 |      2,324 |     22,532 |
| Markdown |         17 |        120 |          0 |         52 |        172 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/course_progress_model.g.dart                        | Dart     |         39 |          0 |          6 |         45 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/excellence_course_model.dart                        | Dart     |         30 |          0 |          4 |         34 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/global_search_model.dart                            | Dart     |         58 |          0 |          7 |         65 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/lesson_progress_model.dart                          | Dart     |         47 |          0 |         10 |         57 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/progress_model.dart                                 | Dart     |         29 |          0 |          6 |         35 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/teacher_model.dart                                  | Dart     |         77 |          0 |          8 |         85 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/teacher_model.g.dart                                | Dart     |         45 |          4 |          8 |         57 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/user_model.dart                                     | Dart     |         23 |          0 |          9 |         32 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/models/user_model.g.dart                                   | Dart     |         33 |          4 |          8 |         45 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/repositories/courses_repository_impl.dart                  | Dart     |        187 |          0 |         28 |        215 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/README.md                                                | Markdown |          2 |          0 |          1 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/courseProgress_entity.dart                      | Dart     |         15 |          0 |          3 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/course_entity.dart                              | Dart     |         66 |          0 |          4 |         70 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/course_grades.dart                              | Dart     |         37 |          0 |          7 |         44 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/excellence_course_entity.dart                   | Dart     |         23 |          0 |          4 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/global_search_entity.dart                       | Dart     |         33 |          0 |          7 |         40 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/teacher_entity.dart                             | Dart     |         17 |          0 |          3 |         20 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/entities/user_entity.dart                                | Dart     |          5 |          0 |          2 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/repositories/courses_repository.dart                     | Dart     |         16 |          1 |          3 |         20 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/enroll_usecase.dart                             | Dart     |         16 |          0 |          5 |         21 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/get_continue_learning.dart                      | Dart     |          0 |          8 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/get_course_grades.dart                          | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/get_course_progress.dart                        | Dart     |         17 |          0 |          5 |         22 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/get_courses_usecase.dart                        | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/get_excellence_courses_usecase.dart             | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/get_mycourese_usecase.dart                      | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/domain/usecases/search_courses_usecase.dart                     | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/README.md                                          | Markdown |          2 |          0 |          1 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/pages/competitions_page.dart                       | Dart     |         40 |          0 |          3 |         43 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/pages/courses_page.dart                            | Dart     |        176 |          0 |         18 |        194 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/pages/search_page.dart                             | Dart     |        243 |          3 |         11 |        257 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/providers/course_grades_provider.dart              | Dart     |         55 |          0 |         12 |         67 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/providers/excellence_courses_provider.dart         | Dart     |         33 |          0 |          8 |         41 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/providers/get_courses_provider.dart                | Dart     |        144 |          7 |         28 |        179 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/providers/search_courses_provider.dart             | Dart     |         69 |          0 |         17 |         86 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/all_courses_section.dart                   | Dart     |         80 |          1 |          7 |         88 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/bottomNavigationBar.dart                   | Dart     |        137 |          0 |         12 |        149 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/buildCourseCard.dart                       | Dart     |         35 |          1 |          4 |         40 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/buildCourseDetails.dart                    | Dart     |        289 |          5 |         17 |        311 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/buildCourseImage.dart                      | Dart     |         66 |          0 |         11 |         77 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/buildShimmerSection.dart                   | Dart     |         43 |          1 |          6 |         50 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/continue_learning_card.dart                | Dart     |        230 |          1 |         14 |        245 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/courseHeader.dart                          | Dart     |         33 |          0 |          3 |         36 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/course_grades_widget.dart                  | Dart     |        274 |          7 |         18 |        299 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/courses_state_widgets.dart                 | Dart     |         26 |          0 |          5 |         31 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/my_courses_section.dart                    | Dart     |         90 |          5 |          7 |        102 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/sliver_appbar.dart                         | Dart     |        234 |          0 |         18 |        252 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/welcomeNewUserCard.dart                    | Dart     |         82 |          0 |         15 |         97 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/downloads/presentation/pages/downloads_page.dart                        | Dart     |        283 |          7 |         15 |        305 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/downloads/presentation/providers/downloads_provider.dart                | Dart     |        197 |          7 |         31 |        235 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/datasources/exam_datasources.dart                            | Dart     |        109 |          0 |         16 |        125 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/datasources/exam_local_data_source.dart                      | Dart     |         84 |          0 |         15 |         99 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/datasources/exam_remote_data_source.dart                     | Dart     |         70 |          0 |         12 |         82 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/exam_model.dart                                       | Dart     |         36 |          1 |          4 |         41 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/exam_models.dart                                      | Dart     |        339 |         16 |         29 |        384 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/exam_models.g.dart                                    | Dart     |        254 |          4 |         28 |        286 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/option_model.dart                                     | Dart     |         22 |          1 |          4 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/question_model.dart                                   | Dart     |         34 |          1 |          4 |         39 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/repositories/exam_repository_impl.dart                       | Dart     |        161 |          0 |         13 |        174 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/entities/exam.dart                                         | Dart     |         27 |          1 |          4 |         32 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/entities/exam_entities.dart                                | Dart     |        222 |          6 |         20 |        248 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/entities/option.dart                                       | Dart     |         17 |          1 |          4 |         22 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/entities/question.dart                                     | Dart     |         25 |          1 |          5 |         31 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/repositories/exam_repository.dart                          | Dart     |         14 |          1 |          2 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/usecases/exam_usecases.dart                                | Dart     |         49 |          0 |         13 |         62 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/usecases/start_exam.dart                                   | Dart     |         20 |          0 |          7 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/usecases/submit_exam.dart                                  | Dart     |         21 |          0 |          7 |         28 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/pages/exam_intro_page.dart                           | Dart     |         82 |          0 |         10 |         92 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/pages/exam_page.dart                                 | Dart     |        295 |         11 |         17 |        323 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/pages/results_page.dart                              | Dart     |        133 |          1 |         16 |        150 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/providers/exam_provider.dart                         | Dart     |        258 |         19 |         35 |        312 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/exam_intro_content.dart                      | Dart     |        224 |          1 |         11 |        236 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/exam_widget.dart                             | Dart     |        423 |         13 |         20 |        456 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/results_actions_section.dart                 | Dart     |         90 |          0 |          4 |         94 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/results_questions_review_section.dart        | Dart     |        272 |          0 |         14 |        286 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/results_statistics_section.dart              | Dart     |        100 |          0 |          7 |        107 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/results_summary_card.dart                    | Dart     |         86 |          0 |          4 |         90 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/README.md                                                  | Markdown |          2 |          0 |          1 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/datasources/lesson_local_data_source.dart                  | Dart     |         73 |          1 |         11 |         85 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/datasources/lesson_remote_data_source.dart                 | Dart     |         67 |          0 |         11 |         78 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/models/lessonProgress_model.dart                           | Dart     |         32 |          1 |          5 |         38 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/models/lessonProgress_model.g.dart                         | Dart     |         42 |          4 |          8 |         54 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/models/lesson_detail_model.dart                            | Dart     |         68 |          0 |          6 |         74 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/models/lesson_model.dart                                   | Dart     |         65 |          1 |          9 |         75 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/models/lesson_model.g.dart                                 | Dart     |         50 |          4 |          8 |         62 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/data/repositories/lesson_repository_impl.dart                   | Dart     |        101 |          0 |         13 |        114 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/README.md                                                | Markdown |          2 |          0 |          1 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/entities/lesson.dart                                     | Dart     |         37 |          2 |          4 |         43 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/entities/lessonProgress_entity.dart                      | Dart     |         14 |          0 |          3 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/entities/lesson_detail.dart                              | Dart     |         36 |          0 |          4 |         40 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/repositories/lesson_repository.dart                      | Dart     |          9 |          1 |          3 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/usecases/get_lesson_detail.dart                          | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/usecases/get_module_lessons.dart                         | Dart     |         13 |          1 |          5 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/domain/usecases/update_lesson_progress.dart                     | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/README.md                                          | Markdown |          2 |          0 |          1 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/controllers/global_video_state.dart                | Dart     |         41 |          0 |          9 |         50 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/controllers/lesson_detail_download_controller.dart | Dart     |        332 |          3 |         71 |        406 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/controllers/native_pip_handler.dart                | Dart     |         42 |          0 |          6 |         48 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/pages/lesson_detail_page.dart                      | Dart     |        334 |          8 |         32 |        374 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/pages/lesson_pdf_viewer_page.dart                  | Dart     |         47 |          1 |          5 |         53 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/pages/lessons_list_page.dart                       | Dart     |        154 |          5 |         16 |        175 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/providers/lesson_detail_provider.dart              | Dart     |        132 |          3 |         14 |        149 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/providers/lessons_list_provider.dart               | Dart     |         59 |          0 |         10 |         69 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/floating_video_widget.dart                 | Dart     |        168 |          3 |         16 |        187 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lessonHeader.dart                          | Dart     |        322 |          1 |         13 |        336 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_card.dart                           | Dart     |        100 |          0 |          4 |        104 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_detail_app_bar.dart                 | Dart     |         26 |          0 |          5 |         31 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_detail_bottom_bar.dart              | Dart     |        103 |          0 |          5 |        108 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_detail_content.dart                 | Dart     |         80 |          0 |          8 |         88 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_info_card.dart                      | Dart     |         34 |          0 |          4 |         38 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_pdf_card.dart                       | Dart     |        105 |          1 |          6 |        112 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_quiz_card.dart                      | Dart     |         82 |          0 |          6 |         88 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_tabs.dart                           | Dart     |         68 |          4 |          4 |         76 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_video_player.dart                   | Dart     |        441 |          6 |         49 |        496 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lessons_error_state.dart                   | Dart     |         14 |          0 |          4 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/moduleTimelineList.dart                    | Dart     |        154 |          0 |         14 |        168 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/textDivider.dart                           | Dart     |         31 |          0 |          4 |         35 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/datasources/module_local_datasource.dart                   | Dart     |         72 |          0 |         11 |         83 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/datasources/module_remote_datasource.dart                  | Dart     |         41 |          2 |         11 |         54 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/models/last_accessed_module_model.dart                     | Dart     |         73 |          0 |         13 |         86 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/models/last_accessed_module_model.g.dart                   | Dart     |         52 |          4 |          8 |         64 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/models/module_grades_model.dart                            | Dart     |         55 |          0 |          7 |         62 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/models/module_model.dart                                   | Dart     |         50 |          0 |          9 |         59 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/models/module_model.g.dart                                 | Dart     |         51 |          4 |          8 |         63 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/data/repositories/module_repository_impl.dart                   | Dart     |        117 |          0 |         13 |        130 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/entities/last_accessed_module_entity.dart                | Dart     |         32 |          0 |          5 |         37 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/entities/module.dart                                     | Dart     |         33 |          1 |          5 |         39 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/entities/module_grades.dart                              | Dart     |         37 |          0 |          7 |         44 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/repositories/module_repository.dart                      | Dart     |         12 |          1 |          3 |         16 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/usecases/get_cached_last_accessed_module_usecase.dart    | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/usecases/get_last_accessed_module_usecase.dart           | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/usecases/get_module_grades.dart                          | Dart     |         13 |          0 |          4 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/domain/usecases/get_modules_by_course.dart                      | Dart     |         13 |          1 |          5 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/pages/modules_list_page.dart                       | Dart     |        252 |          4 |         21 |        277 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/providers/last_accessed_module_provider.dart       | Dart     |         53 |          0 |          8 |         61 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/providers/module_grades_provider.dart              | Dart     |         55 |          2 |         12 |         69 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/providers/modules_list_provider.dart               | Dart     |         51 |          3 |         12 |         66 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/animatedModuleItem.dart                    | Dart     |         31 |          0 |          8 |         39 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/buildExpertBadge.dart                      | Dart     |        201 |          0 |         10 |        211 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/moduleHaeder.dart                          | Dart     |        109 |          3 |          6 |        118 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/module_card.dart                           | Dart     |        112 |          0 |         15 |        127 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/module_grades_widget.dart                  | Dart     |        274 |          7 |         18 |        299 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/modules_error_state.dart                   | Dart     |         14 |          1 |          5 |         20 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/progressInfo.dart                          | Dart     |         84 |          0 |          5 |         89 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/sliverListItemBuilder.dart                 | Dart     |         42 |          0 |          5 |         47 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/notifications/presentation/pages/notifications_page.dart                | Dart     |         50 |          0 |          3 |         53 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/data/models/onboarding_data.dart                                | Dart     |         30 |          4 |          5 |         39 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/domain/entity/onboarding_entity.dart                            | Dart     |         10 |          0 |          2 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/pages/onboarding_screen.dart                        | Dart     |         69 |          0 |          8 |         77 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/providers/onboarding_provider.dart                  | Dart     |         42 |          4 |         12 |         58 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/widgets/moveButtonWidget.dart                       | Dart     |        155 |          5 |         19 |        179 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/widgets/onBoardingFooter.dart                       | Dart     |         63 |          2 |          5 |         70 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/widgets/onBoardingImage.dart                        | Dart     |         31 |          0 |          4 |         35 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/widgets/onBoardingTitle.dart                        | Dart     |         37 |          1 |          4 |         42 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/onboard/presentaion/widgets/onBoardingdescription.dart                  | Dart     |         27 |          0 |          4 |         31 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/datasources/profile_local_datasource.dart                  | Dart     |         30 |          0 |          4 |         34 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/datasources/profile_remote_datasource.dart                 | Dart     |         38 |          0 |          7 |         45 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/models/total_points_model.dart                             | Dart     |         14 |          0 |          4 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/models/user_profile_model.dart                             | Dart     |         48 |          0 |          5 |         53 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/repositories/profile_repository_impl.dart                  | Dart     |         69 |          0 |          8 |         77 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/entities/total_points_entity.dart                        | Dart     |          4 |          0 |          2 |          6 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/entities/user_profile_entity.dart                        | Dart     |         16 |          0 |          2 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/repositories/profile_repository.dart                     | Dart     |          9 |          0 |          2 |         11 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/usecases/get_total_points_usecase.dart                   | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/usecases/get_user_profile_usecase.dart                   | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/usecases/update_user_profile_usecase.dart                | Dart     |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/pages/about_page.dart                              | Dart     |        296 |          5 |         10 |        311 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/pages/developers_page.dart                         | Dart     |        333 |          3 |         20 |        356 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/pages/profile_page.dart                            | Dart     |         32 |          0 |          3 |         35 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/providers/profile_provider.dart                    | Dart     |         81 |          0 |         19 |        100 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/badges_section.dart                        | Dart     |         96 |          7 |          5 |        108 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/edit_profile_dialog.dart                   | Dart     |        262 |          5 |         18 |        285 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/excellence_courses_section.dart            | Dart     |        159 |          0 |          7 |        166 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/profile_header.dart                        | Dart     |        312 |         13 |         22 |        347 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/settings_section.dart                      | Dart     |        185 |          7 |         12 |        204 |
| /home/bashar/Projects/algonaid_mobile_app/lib/main.dart                                                                        | Dart     |         93 |          9 |         10 |        112 |
| Total                                                                                                                          |          |     19,746 |        582 |      2,376 |     22,704 |
+--------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
