Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 131 files,  -44938 codes, -231 comments, -270 blanks, all -45439 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         70 |      1,988 |         38 |        104 |      2,130 |
| core                                                                                                                           |          8 |         65 |          3 |          8 |         76 |
| core/constants                                                                                                                 |          1 |         10 |          0 |          0 |         10 |
| core/di                                                                                                                        |          1 |         17 |          0 |          3 |         20 |
| core/network                                                                                                                   |          1 |          6 |          0 |          1 |          7 |
| core/routes                                                                                                                    |          2 |         18 |          3 |          3 |         24 |
| core/theme                                                                                                                     |          1 |          7 |          0 |          1 |          8 |
| core/utils                                                                                                                     |          1 |          2 |          0 |          0 |          2 |
| core/utils/providers                                                                                                           |          1 |          2 |          0 |          0 |          2 |
| core/widgets                                                                                                                   |          1 |          5 |          0 |          0 |          5 |
| core/widgets/shared                                                                                                            |          1 |          5 |          0 |          0 |          5 |
| features                                                                                                                       |         58 |      2,026 |         45 |        117 |      2,188 |
| features/auth                                                                                                                  |          4 |        112 |          0 |          0 |        112 |
| features/auth/data                                                                                                             |          2 |         40 |          0 |          0 |         40 |
| features/auth/data/models                                                                                                      |          1 |         24 |          0 |          0 |         24 |
| features/auth/data/repositories                                                                                                |          1 |         16 |          0 |          0 |         16 |
| features/auth/domain                                                                                                           |          1 |         16 |          0 |          0 |         16 |
| features/auth/domain/entities                                                                                                  |          1 |         16 |          0 |          0 |         16 |
| features/auth/presentation                                                                                                     |          1 |         56 |          0 |          0 |         56 |
| features/auth/presentation/providers                                                                                           |          1 |         56 |          0 |          0 |         56 |
| features/courses                                                                                                               |         10 |        153 |          1 |          6 |        160 |
| features/courses/data                                                                                                          |          2 |         42 |          0 |          5 |         47 |
| features/courses/data/datasources                                                                                              |          1 |         24 |          0 |          2 |         26 |
| features/courses/data/repositories                                                                                             |          1 |         18 |          0 |          3 |         21 |
| features/courses/presentation                                                                                                  |          8 |        111 |          1 |          1 |        113 |
| features/courses/presentation/pages                                                                                            |          2 |         29 |          0 |          0 |         29 |
| features/courses/presentation/widgets                                                                                          |          6 |         82 |          1 |          1 |         84 |
| features/downloads                                                                                                             |          1 |         69 |          7 |         -1 |         75 |
| features/downloads/presentation                                                                                                |          1 |         69 |          7 |         -1 |         75 |
| features/downloads/presentation/pages                                                                                          |          1 |         69 |          7 |         -1 |         75 |
| features/exams                                                                                                                 |          9 |       -107 |          4 |        -19 |       -122 |
| features/exams/data                                                                                                            |          3 |       -159 |          2 |        -25 |       -182 |
| features/exams/data/datasources                                                                                                |          1 |       -188 |          0 |        -27 |       -215 |
| features/exams/data/models                                                                                                     |          2 |         29 |          2 |          2 |         33 |
| features/exams/domain                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| features/exams/domain/entities                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| features/exams/presentation                                                                                                    |          5 |         49 |          2 |          6 |         57 |
| features/exams/presentation/pages                                                                                              |          3 |         30 |          1 |          3 |         34 |
| features/exams/presentation/widgets                                                                                            |          2 |         19 |          1 |          3 |         23 |
| features/lessons                                                                                                               |         12 |        158 |         -3 |         13 |        168 |
| features/lessons/presentation                                                                                                  |         12 |        158 |         -3 |         13 |        168 |
| features/lessons/presentation/controllers                                                                                      |          1 |          8 |          0 |          2 |         10 |
| features/lessons/presentation/pages                                                                                            |          2 |        126 |          0 |          7 |        133 |
| features/lessons/presentation/providers                                                                                        |          1 |         40 |          1 |          2 |         43 |
| features/lessons/presentation/widgets                                                                                          |          8 |        -16 |         -4 |          2 |        -18 |
| features/modules                                                                                                               |          4 |        196 |          0 |          9 |        205 |
| features/modules/presentation                                                                                                  |          4 |        196 |          0 |          9 |        205 |
| features/modules/presentation/pages                                                                                            |          1 |        177 |          0 |          9 |        186 |
| features/modules/presentation/widgets                                                                                          |          3 |         19 |          0 |          0 |         19 |
| features/notifications                                                                                                         |          1 |         50 |          0 |          3 |         53 |
| features/notifications/presentation                                                                                            |          1 |         50 |          0 |          3 |         53 |
| features/notifications/presentation/pages                                                                                      |          1 |         50 |          0 |          3 |         53 |
| features/profile                                                                                                               |         17 |      1,395 |         36 |        106 |      1,537 |
| features/profile/data                                                                                                          |          5 |        158 |          0 |         16 |        174 |
| features/profile/data/datasources                                                                                              |          2 |         54 |          0 |          6 |         60 |
| features/profile/data/models                                                                                                   |          2 |         53 |          0 |          6 |         59 |
| features/profile/data/repositories                                                                                             |          1 |         51 |          0 |          4 |         55 |
| features/profile/domain                                                                                                        |          4 |         41 |          0 |         10 |         51 |
| features/profile/domain/entities                                                                                               |          1 |         16 |          0 |          2 |         18 |
| features/profile/domain/repositories                                                                                           |          1 |          3 |          0 |          0 |          3 |
| features/profile/domain/usecases                                                                                               |          2 |         22 |          0 |          8 |         30 |
| features/profile/presentation                                                                                                  |          8 |      1,196 |         36 |         80 |      1,312 |
| features/profile/presentation/pages                                                                                            |          2 |        629 |          8 |         30 |        667 |
| features/profile/presentation/providers                                                                                        |          1 |         52 |          0 |          9 |         61 |
